match_id,set_id,rally,player_A,player_B,score_A,score_B,winner,type,pressure_score,smasher,hit_x,hit_y,landing_x,landing_y
1,1,1,A,B,1,0,A,發短球,0.0,,0.0,0.0,620.0,407.0
1,1,1,A,B,1,0,A,長球,0.0,,620.0,407.0,825.0,679.0
1,1,2,A,B,2,0,A,發短球,0.0,,0.0,0.0,725.0,396.0
1,1,2,A,B,2,0,A,推球,0.0,,725.0,396.0,527.0,627.0
1,1,2,A,B,2,0,A,殺球,0.0,A,527.0,627.0,604.0,353.0
1,1,2,A,B,2,0,A,擋小球,0.0,,604.0,353.0,537.0,481.0
1,1,2,A,B,2,0,A,撲球,0.0,,537.0,481.0,648.0,357.0
1,1,2,A,B,2,0,A,平球,0.0,,648.0,357.0,1012.0,679.0
1,1,3,A,B,2,1,B,發短球,0.0,,0.0,0.0,607.0,372.0
1,1,3,A,B,2,1,B,放小球,0.0,,607.0,372.0,532.0,515.0
1,1,3,A,B,2,1,B,挑球,0.0,,532.0,515.0,521.0,321.0
1,1,3,A,B,2,1,B,殺球,0.0,B,521.0,321.0,715.0,566.0
1,1,3,A,B,2,1,B,擋小球,0.0,,715.0,566.0,762.0,404.0
1,1,3,A,B,2,1,B,挑球,0.0,,762.0,404.0,514.0,628.0
1,1,3,A,B,2,1,B,點扣,0.0,,514.0,628.0,526.0,359.0
1,1,3,A,B,2,1,B,擋小球,0.0,,526.0,359.0,514.0,482.0
1,1,3,A,B,2,1,B,勾球,0.0,,514.0,482.0,773.0,408.0
1,1,3,A,B,2,1,B,放小球,0.0,,773.0,408.0,781.0,469.0
1,1,3,A,B,2,1,B,挑球,0.0,,781.0,469.0,496.0,325.0
1,1,3,A,B,2,1,B,點扣,0.0,,496.0,325.0,746.0,554.0
1,1,3,A,B,2,1,B,擋小球,0.0,,746.0,554.0,756.0,391.0
1,1,3,A,B,2,1,B,挑球,0.0,,756.0,391.0,501.0,627.0
1,1,3,A,B,2,1,B,過度切球,0.0,,501.0,627.0,539.0,390.0
1,1,3,A,B,2,1,B,平球,0.0,,539.0,390.0,740.0,559.0
1,1,3,A,B,2,1,B,防守回抽,0.0,,740.0,559.0,544.0,323.0
1,1,3,A,B,2,1,B,長球,0.0,,544.0,323.0,481.0,636.0
1,1,3,A,B,2,1,B,長球,0.0,,481.0,636.0,530.0,327.0
1,1,3,A,B,2,1,B,點扣,0.0,,530.0,327.0,749.0,567.0
1,1,3,A,B,2,1,B,擋小球,0.0,,749.0,567.0,774.0,404.0
1,1,3,A,B,2,1,B,挑球,0.0,,774.0,404.0,463.0,653.0
1,1,3,A,B,2,1,B,長球,0.0,,463.0,653.0,487.0,322.0
1,1,3,A,B,2,1,B,殺球,0.0,B,487.0,322.0,503.0,579.0
1,1,3,A,B,2,1,B,擋小球,0.0,,503.0,579.0,505.0,390.0
1,1,3,A,B,2,1,B,推球,0.0,,505.0,390.0,781.0,638.0
1,1,3,A,B,2,1,B,過度切球,0.0,,781.0,638.0,800.0,465.0
1,1,4,A,B,3,1,A,發短球,0.0,,0.0,0.0,533.0,524.0
1,1,4,A,B,3,1,A,放小球,0.0,,533.0,524.0,501.0,395.0
1,1,4,A,B,3,1,A,放小球,0.0,,501.0,395.0,500.0,492.0
1,1,4,A,B,3,1,A,放小球,0.0,,500.0,492.0,496.0,426.0
1,1,4,A,B,3,1,A,撲球,0.0,,496.0,426.0,565.0,536.0
1,1,4,A,B,3,1,A,擋小球,0.0,,565.0,536.0,756.0,336.0
